name,tags,image_url
PALAU DELS MARTÍNEZ DE RAGA,historical art,https://upload.wikimedia.org/wikipedia/commons/c/cb/Palacio_de_%2Clos_condes_de_R%C3%B3tova_02.jpg
PALAU DELS QUEIXAL O DELS TRÉNOR,historical,
PALAU DE MONTORNÉS,historical,
PALAU DE MONTORTAL,historical,https://upload.wikimedia.org/wikipedia/commons/7/7a/Carcaixent.cocina_palacio_marques_montortal.jpg
PALAU DE LA MARQUESA DE COLOMINA,historical,https://upload.wikimedia.org/wikipedia/commons/1/16/Flag_of_the_Valencian_Community_%282x3%29.svg
PALAU MUNICIPAL DE L'EXPOSICIÓ,historical modern,https://upload.wikimedia.org/wikipedia/commons/c/c7/Biblioteca_Municipal_Palau_de_l%27Exposicio_-_panoramio.jpg
BANCAIXA - CAIXA D'ESTALVIS DE VALÈNCIA,historical,https://upload.wikimedia.org/wikipedia/commons/d/d6/2021-09-03-08-27_-_Plaza_del_Ayuntamiento_-_Infantil_-_Francesc_Jarque.jpg
CASA NATALÍCIA DE SANT VICENT FERRER - EL POUET,historical religious,https://upload.wikimedia.org/wikipedia/commons/9/94/Casa_Natalicia_San_Vicente_Ferrer04.jpg
PARRÒQUIA DE SANTA CECÍLIA,historical religious,https://upload.wikimedia.org/wikipedia/commons/3/39/Venezuela_adm_location_map_%28%2Bclaimed%29.svg
PLAÇA DEL MERCAT,historical food,https://upload.wikimedia.org/wikipedia/commons/3/39/Mercat_Del_Encants_-_panoramio_%2812%29.jpg
PORTAL DE LA VALLDIGNA,historical,https://upload.wikimedia.org/wikipedia/commons/6/6d/Valencia_-_Portal_de_la_Valldigna_%28364674027%29.jpg
PONT DELS SERRANS,historical gothic,https://upload.wikimedia.org/wikipedia/commons/d/de/Valencia_-_Pont_dels_Serrans_2023-09-25.jpg
PONT DE LA MAR,historical,https://upload.wikimedia.org/wikipedia/commons/3/36/Valencia_tram_2015_Pont_de_Fusta_I.JPG
PORT DE VALÈNCIA,modern,https://upload.wikimedia.org/wikipedia/commons/1/16/Flag_of_the_Valencian_Community_%282x3%29.svg
REIAL MONESTIR DE LA TRINITAT,historical religious,
ANTIC SEMINARI CONCILIAR FACULTAT DE TEOLOGIA,historical religious science,
TORRE DE SANT BERTOMEU,historical religious,https://upload.wikimedia.org/wikipedia/commons/3/3a/CampanarioSantBertomeu.jpg
UNIVERSITAT DE VALÈNCIA,historical science,https://upload.wikimedia.org/wikipedia/commons/8/8c/Esuni.GIF
TORRE DE LA POSADA DE L'ÀNGEL O TORRE DE L'ÀNGEL,historical,https://upload.wikimedia.org/wikipedia/commons/8/81/Torre_de_l%27%C3%80ngel%2C_Val%C3%A8ncia.JPG
ESGLÉSIA PARROQUIAL DEL CRIST REDEMPTOR EL CABANYAL,historical religious,
ESGLÉSIA PARROQUIAL DE JESÚS MESTRE,historical religious,https://upload.wikimedia.org/wikipedia/commons/4/4b/Esgl%C3%A9sia_de_Gata_de_Gorgos%2C_Marina_Alta.JPG
ESGLÉSIA PARROQUIAL DE L'ÀNGEL CUSTODI,historical religious,
ESGLÉSIA PARROQUIAL DE L'ANTIC CONVENT DE SANTA MARIA DE JESÚS,historical religious,
ESGLÉSIA PARROQUIAL DE LA PASSIÓ DEL SENYOR,historical religious,
ESGLÉSIA PARROQUIAL DE LA MARE DE DÉU DE LA FONTSANTA,historical religious,
ESGLÉSIA PARROQUIAL DELS SANTS ABDÓ I SENENT,historical religious,
ESGLÉSIA PARROQUIAL DEL PATRIARCA SANT JOSEP,historical religious,https://upload.wikimedia.org/wikipedia/commons/7/78/VistaSegart.jpg
ESGLÉSIA PARROQUIAL DE MARIA MARE DE CRIST (PINEDO),historical religious,
ESGLÉSIA PARROQUIAL DE LA MARE DE DÉU DE GRÀCIA - LA TORRE,historical religious,https://upload.wikimedia.org/wikipedia/commons/5/53/L%27%C3%88nova_17.jpg
ESCORXADOR MUNICIPAL,historical,https://upload.wikimedia.org/wikipedia/commons/a/a2/Antic_escorxador_municipal_d%27Alginet_%28Pa%C3%ADs_Valenci%C3%A0%29.jpg
MERCAT D'ABASTOS,historical food,https://upload.wikimedia.org/wikipedia/commons/4/4b/Abastos01.jpg
MONESTIR DE SANTA CLARA - CLARISSES CAPUTXINES,historical religious,
MONUMENT A L'ARQUEBISBE OLAECHEA,historical religious art,
CASA MUSEU CONCHA PIQUER,museum historical art,https://upload.wikimedia.org/wikipedia/commons/0/0b/Ramona_Rovira%2C_C%C3%B3rdoba_Gr%C3%A1fica.jpg
MUSEU FALLER,museum historical art,https://upload.wikimedia.org/wikipedia/commons/4/43/Museo_Fallero_de_Valencia.jpg
MUSEU DE LA SETMANA SANTA MARINERA,museum historical religious art,
PALAU ARQUEBISBAL,historical religious,https://upload.wikimedia.org/wikipedia/commons/b/ba/Palacio_Arzobispal_de_Valencia.jpg
PALAU D'ARIZA,historical,
ANTIC SEMINARI CONCILIAR - FACULTAT DE TEOLOGIA,historical religious science,
ARXIU DEL REGNE DE VALÈNCIA,historical science,https://upload.wikimedia.org/wikipedia/commons/0/00/Arxiu_del_Regne_de_Val%C3%A8ncia._edfici.jpg
ASIL D'ANCIANS DESEMPARATS,historical,
ASIL I ESGLÉSIA DE SANTA MÒNICA,historical religious,https://upload.wikimedia.org/wikipedia/commons/7/78/SF_maig_2026.jpg
ASIL I COL·LEGI DE SANT JOAN BAPTISTA,historical religious science,https://upload.wikimedia.org/wikipedia/commons/7/78/SF_maig_2026.jpg
FÀBRICA DE TABAC,historical,https://upload.wikimedia.org/wikipedia/commons/3/3e/Fabrica_de_Tabacos.JPG
BIBLIOTECA MUNICIPAL,historical science,https://upload.wikimedia.org/wikipedia/commons/1/16/Flag_of_the_Valencian_Community_%282x3%29.svg
CARRER DELS CAVALLERS,historical,https://upload.wikimedia.org/wikipedia/commons/9/91/Calle_caballeros_valencia.jpg
CAPELLA DE SANT VALERI,historical religious,https://upload.wikimedia.org/wikipedia/commons/f/f0/Cor_de_la_Generalitat_Valenciana._Foto_Tania_Castro.jpg
CASA DE LA BARONESSA D'ALAQUÀS,historical,
CASA DEL CARRER DE BAIX 48,historical,https://upload.wikimedia.org/wikipedia/commons/1/16/Flag_of_the_Valencian_Community_%282x3%29.svg
CASA DEL CARRER DE LA CONCÒRDIA 6,historical,https://upload.wikimedia.org/wikipedia/commons/4/43/Ramon_G._Valencia.jpg
CASA DEL CARRER DELS CAVALLERS 8 (CANTONADA AMB EL CARRER DELS BORGES),historical,
CASA DEL BARÓ DE CAMPOLIVAR,historical,
CASA DELS MARQUESOS DE GONZÁLEZ DE QUIRÓS,historical,https://upload.wikimedia.org/wikipedia/commons/d/d2/Lista_roja_de_patrimonio_en_peligro_por_CCAA.jpg
CASA DELS MARQUESOS DE TREMOLAR,historical,https://upload.wikimedia.org/wikipedia/commons/e/e0/L%27Eliana._Ajuntament_1.jpg
CASA DE MONTOLIU,historical,https://upload.wikimedia.org/wikipedia/commons/1/16/Flag_of_the_Valencian_Community_%282x3%29.svg
CASA PALAU DELS COMTES D'ALMENARA,historical,
CASA DE LES SERVES DE MARIA,historical religious,https://upload.wikimedia.org/wikipedia/commons/4/4b/Retrat_fotogr%C3%A0fic_Maria_Ibars_%28cropped%29.jpg
PARRÒQUIA DE SANT ANNA,historical religious,https://upload.wikimedia.org/wikipedia/commons/5/56/2022-06-19_19.27.23_Corpus_Christi_-_Process%C3%B3_General.jpg
MUSEU DE LA CIUTAT,museum historical art,https://upload.wikimedia.org/wikipedia/commons/6/6e/Museu_d%27Hist%C3%B2ria_de_Val%C3%A8ncia.jpg
EDIFICI DEL RELLOTGE (PORT),historical modern,https://upload.wikimedia.org/wikipedia/commons/0/04/Sede_de_la_autoridad_portuaria_de_Valencia.JPG
EDIFICI D'HABITATGES DONOSO CORTÉS 7 (CANTONADA AMB LA PLAÇA DE RUSSAFA),historical,
ERMITA DE SANTA LLÚCIA,historical religious,https://upload.wikimedia.org/wikipedia/commons/e/e2/Ermita_de_santa_Ll%C3%BAcia_-_Val%C3%A8ncia.jpg
MONUMENTS DE LA PLAÇA DE LA MARE DE DÉU DELS DESEMPARATS,historical religious art,
PARRÒQUIA DEL XIQUET JESÚS DE L'HORT (ILLA DEL PALMAR-L'ALBUFERA),historical religious,
FONT DE LA PLAÇA DE SANT LLUÍS BERTRAN,historical art,
GRAN ASSOCIACIÓ DE LA MARE DE DÉU DELS DESEMPARATS,historical religious,https://upload.wikimedia.org/wikipedia/commons/5/50/Bocairent._Vista_amb_el_pont_de_Darrere_la_Vila.JPG
PARRÒQUIA DE SANT FRANCESC XAVIER,historical religious,https://upload.wikimedia.org/wikipedia/commons/6/63/Barcelona_Cathedral_Saint_Eulalia.jpg
ESGLÉSIA DE LES ESCOLES DE L'AVE MARIA (BENIMÀMET),historical religious science,
PARRÒQUIA DE SANT JAUME DE BENIFERRI,historical religious,https://upload.wikimedia.org/wikipedia/commons/f/ff/Espa%C3%B1aLoc.svg
PARRÒQUIA DE SANT JOSEP (EL SALER),historical religious,https://upload.wikimedia.org/wikipedia/commons/1/16/Flag_of_the_Valencian_Community_%282x3%29.svg
ESGLÉSIA DE LES MARES REPARADORES,historical religious,
ESGLÉSIA DEL CRIST DE L'AGONIA DEL FORN D'ALCEDO,historical religious,
ESGLÉSIA DEL MIRACLE I HOSPITAL DE SACERDOTS POBRES,historical religious,
ESGLÉSIA DEL SAGRAT COR DE JESÚS (COMPANYIA DE JESÚS),historical religious,
ESGLÉSIA DEL SAGRAT COR DE JESÚS (PATRAIX),historical religious,
ESGLÉSIA DE LA MARE DE DÉU DE L'ASSUMPCIÓ (BENIMACLET),historical religious,https://upload.wikimedia.org/wikipedia/commons/3/3a/Pla%C3%A7a_de_Benimaclet.JPG
ESGLÉSIA DE LA MARE DE DÉU DEL CARME (PARES CARMELITES),historical religious,
ESGLÉSIA DE SANT CRISTÒFOL,historical religious,https://upload.wikimedia.org/wikipedia/commons/5/53/Exterior_Iglesia_del_Monasterio_de_San_Crist%C3%B3bal_de_Valencia_10.jpg
ESGLÉSIA DE SANT LLORENÇ,historical religious,https://upload.wikimedia.org/wikipedia/commons/3/3c/Massalfassar._Esgl%C3%A9sia.JPG
ESGLÉSIA PARROQUIAL DE SANT JOAN BOSCO,historical religious,https://upload.wikimedia.org/wikipedia/commons/f/f7/Penella_-_Donostia_Ospitalea_2.jpg
ESGLÉSIA PARROQUIAL DE SANT JOAN I SANT VICENT,historical religious,https://upload.wikimedia.org/wikipedia/commons/1/14/Esterri_d%27Aneu_esglesia_SVicenc.JPG
ESGLÉSIA PARROQUIAL DE SANT LLÀTZER,historical religious,https://upload.wikimedia.org/wikipedia/commons/c/ce/Bandera_d%27Olot.svg
ESGLÉSIA PARROQUIAL DE SANT MATEU,historical religious,https://upload.wikimedia.org/wikipedia/commons/3/39/Esgl%C3%A9sia_de_l%27Assumpci%C3%B3_de_Pego.JPG
ESGLÉSIA PARROQUIAL DE SANT MIQUEL I SANT SEBASTIÀ,historical religious,https://upload.wikimedia.org/wikipedia/commons/4/4b/Esgl%C3%A9sia_de_Gata_de_Gorgos%2C_Marina_Alta.JPG
ESGLÉSIA PARROQUIAL DE SANT PASQUAL BAYLÓN,historical religious,
ESGLÉSIA PARROQUIAL DE SANT ROC DE BENICALAP,historical religious,https://upload.wikimedia.org/wikipedia/commons/1/1c/Valencia-loc.svg
ESGLÉSIA PARROQUIAL DE SANTA ANNA (BORBOTÓ),historical religious,
ESGLÉSIA PARROQUIAL DE LA MARE DE DÉU DELS ÀNGELS (EL CABANYAL),historical religious,
ESGLÉSIA PARROQUIAL DE LA MARE DE DÉU DE LA MISERICÒRDIA (CAMPANAR),historical religious,
ESGLÉSIA PARROQUIAL DE LA MARE DE DÉU DEL ROSARI (LEPANT-CASTELLAR),historical religious,
ESGLÉSIA PARROQUIAL DE SANT TOMÀS DE VILLANUEVA (PEDANIA LA FONTETA DE SANT LLUÍS),historical religious,
ESGLÉSIA I COL·LEGI DELS SALESIANS (LA FONTETA DE SANT LLUÍS),historical religious science,
PALAU I BANYS DE L'ALMIRALL,historical,https://upload.wikimedia.org/wikipedia/commons/d/dd/Valencia-Barris-Clau-La_Xerea.png
PARRÒQUIA DE L'EPIFANIA DEL SENYOR (CARRERA DE LA FONT D'EN CORTS),historical religious,
PARRÒQUIA DE LA MARE DE DÉU DELS DESEMPARATS (NATZARET),historical religious,
ESGLÉSIA DE SANT PAU (INSTITUT LLUÍS VIVES),historical religious science,https://upload.wikimedia.org/wikipedia/commons/0/04/Arcadi_Oliveres_%282005%29.jpg
MICALET,historical religious art,https://upload.wikimedia.org/wikipedia/commons/b/b4/Teatre_Micalet_de_Valencia.jpg
ESGLÉSIA PARROQUIAL DE SANT RAFAEL ARCÀNGEL - EL CABANYAL,historical religious,
CASA SENYORIAL AL CARRER DE BAIX,historical,
CASA SENYORIAL AL CARRER DE ROTEROS,historical,
CENTRE CULTURAL FUNDACIÓ BANCAIXA,museum historical art modern,https://upload.wikimedia.org/wikipedia/commons/1/16/Flag_of_the_Valencian_Community_%282x3%29.svg
COL·LEGIATA DE SANT BERTOMEU APÒSTOL,historical religious,
COL·LEGI DEL SAGRAT COR DE JESÚS,historical religious science,
COL·LEGI ESGLÉSIA DE SANT JOSEP DE LA MUNTANYA,historical religious science,https://upload.wikimedia.org/wikipedia/commons/a/ad/Cl_azc%C3%A1rraga_vcia.jpg
CONVENT DE L'ENCARNACIÓ,historical religious,
CONVENT DE SANTA ÚRSULA,historical religious,https://upload.wikimedia.org/wikipedia/commons/8/86/Iglesia_de_Santa_%C3%9Arsula%2C_Valencia%2C_Espa%C3%B1a%2C_2014-06-30%2C_DD_87.JPG
CORREOS,historical modern,https://upload.wikimedia.org/wikipedia/commons/8/8b/Edificio_de_Correos_y_Tel%C3%A9grafos%2C_Valencia%2C_Espa%C3%B1a%2C_2014-06-30%2C_DD_129.JPG
CRIPTA DE LA PRESÓ DE SANT VICENT,historical religious,https://upload.wikimedia.org/wikipedia/commons/9/92/Valencia.Carcel_de_San_Vicente.jpg
DELEGACIÓ DEL MINISTERI D'ECONOMIA I HISENDA,historical,
EDIFICI DE LA PLAÇA DE L'ALMOINA 4,historical,https://upload.wikimedia.org/wikipedia/commons/d/d8/Casa_Sancho_o_del_Punt_de_Gantxo_de_Manuel_Peris_Ferrando_en_la_plaza_de_la_Almoina%2C_4%2C_1906.jpg
TORRES DELS SERRANS,historical gothic,https://upload.wikimedia.org/wikipedia/commons/c/cd/Cr_Serrans_%28Val%C3%A8ncia%29.jpg
ESGLÉSIA DE SANT JOAN DE L'HOSPITAL,historical religious,https://upload.wikimedia.org/wikipedia/commons/9/9f/Plaza_Maria_Agustina_-_Castellon.jpg
ESGLÉSIA DE SANT TOMÀS I SANT FELIP NERI,historical religious,https://upload.wikimedia.org/wikipedia/commons/d/dd/Valencia-Barris-Clau-La_Xerea.png
L'ALMOINA. CENTRE ARQUEOLÒGIC,museum historical,https://upload.wikimedia.org/wikipedia/commons/c/cb/Centre_arqueol%C3%B2gic_de_l%27Almoina_de_Val%C3%A8ncia%2C_exterior.JPG
CASA VESTUARI,historical,https://upload.wikimedia.org/wikipedia/commons/8/8b/Casa_Vestuari_Val%C3%A8ncia.JPG
ESGLÉSIA PARROQUIAL DE LA MARE DE DÉU DEL REMEI,historical religious,
